Src IP,Dst IP,Total Flow Duration,Total Forward Packets,Avg Flow Duration,Avg Forward Packets,Std Dev Flow Duration,Std Dev Forward Packets
192.168.20.43,52.217.233.217,8959046,304,8959046.00,304.00,0.00,0.00
192.168.20.43,44.193.236.65,12425821,21,12425821.00,21.00,0.00,0.00
192.168.20.43,54.187.92.102,89548756,199,89548756.00,199.00,0.00,0.00
192.168.20.43,52.214.227.89,22601604116,3501,11300802058.00,1750.50,8514145458.00,1308.50
192.168.20.43,52.70.101.206,31869782,185,31869782.00,185.00,0.00,0.00
192.168.20.43,72.21.207.143,461974,11,461974.00,11.00,0.00,0.00
192.168.20.43,52.94.236.45,919915,24,919915.00,24.00,0.00,0.00
192.168.20.43,209.54.183.188,417259,12,417259.00,12.00,0.00,0.00
192.168.20.43,54.166.21.152,25715677,42,25715677.00,42.00,0.00,0.00
192.168.20.43,52.94.235.74,460765,14,460765.00,14.00,0.00,0.00
192.168.20.43,52.46.137.137,1069973,37,1069973.00,37.00,0.00,0.00
192.168.20.43,54.239.31.104,62833241,27,62833241.00,27.00,0.00,0.00
192.168.20.43,54.92.134.147,987107003,126,987107003.00,126.00,0.00,0.00
192.168.20.43,52.46.153.141,476491,26,476491.00,26.00,0.00,0.00
192.168.20.43,209.54.181.79,489189,29,489189.00,29.00,0.00,0.00
192.168.20.43,44.227.96.221,162223065,295,162223065.00,295.00,0.00,0.00
192.168.20.43,54.157.203.98,258737817,46,258737817.00,46.00,0.00,0.00
192.168.20.43,18.164.55.96,394971,24,394971.00,24.00,0.00,0.00
192.168.20.43,52.39.190.49,88209024,210,88209024.00,210.00,0.00,0.00
192.168.20.43,35.167.225.196,238550325,294,119275162.50,147.00,75721240.50,54.00
192.168.20.43,52.84.179.94,274186122,444,137093061.00,222.00,76899330.00,156.00
192.168.20.43,3.234.165.228,23678745,172,23678745.00,172.00,0.00,0.00
192.168.20.43,52.36.138.241,84450561,235,84450561.00,235.00,0.00,0.00
192.168.20.43,52.95.125.12,167174590,39,167174590.00,39.00,0.00,0.00
192.168.20.43,52.45.200.111,1420589673,182,710294836.50,91.00,601284049.50,77.00
192.168.20.43,3.220.182.54,8331981,57,8331981.00,57.00,0.00,0.00
192.168.20.43,209.54.181.98,432283,11,432283.00,11.00,0.00,0.00
192.168.20.43,35.173.14.214,49598117,310,24799058.50,155.00,21137031.50,137.00
192.168.20.43,52.46.132.114,403413,13,403413.00,13.00,0.00,0.00
192.168.20.43,52.95.123.112,410931,13,410931.00,13.00,0.00,0.00
192.168.20.43,52.94.231.222,577421,17,577421.00,17.00,0.00,0.00
192.168.20.43,34.234.151.208,552685595,74,552685595.00,74.00,0.00,0.00
192.168.20.43,54.239.35.211,81728940,53,81728940.00,53.00,0.00,0.00
192.168.20.43,54.239.35.210,110239999,53,110239999.00,53.00,0.00,0.00
192.168.20.43,176.32.98.79,1159037,33,1159037.00,33.00,0.00,0.00
192.168.20.43,52.216.27.126,17308851,139,17308851.00,139.00,0.00,0.00
192.168.20.43,3.211.221.42,1095521410,140,547760705.00,70.00,326507333.00,42.00
192.168.20.43,52.46.158.193,576316,11,576316.00,11.00,0.00,0.00
192.168.20.43,52.95.115.242,72306253,11,72306253.00,11.00,0.00,0.00
192.168.20.43,52.94.224.4,453078,12,453078.00,12.00,0.00,0.00
192.168.20.43,107.23.85.26,545542644,70,545542644.00,70.00,0.00,0.00
192.168.20.43,52.72.244.88,97814227,43,97814227.00,43.00,0.00,0.00
192.168.20.43,72.21.207.80,110723388,18,110723388.00,18.00,0.00,0.00
192.168.20.43,3.227.176.159,1100001900,140,1100001900.00,140.00,0.00,0.00
192.168.20.43,54.225.152.58,96586708,41,96586708.00,41.00,0.00,0.00
192.168.20.43,52.46.149.20,102282211,21,102282211.00,21.00,0.00,0.00
192.168.20.43,52.84.174.66,7774937,6,7774937.00,6.00,0.00,0.00
192.168.20.43,52.94.225.56,544081,12,544081.00,12.00,0.00,0.00
192.168.20.43,52.84.174.68,7839449,6,7839449.00,6.00,0.00,0.00
192.168.20.43,54.166.101.241,20660588,116,10330294.00,58.00,10330147.00,56.00
192.168.20.43,52.46.131.169,869453,21,869453.00,21.00,0.00,0.00
192.168.20.43,34.195.153.29,31483273,205,15741636.50,102.50,11900447.50,77.50
192.168.20.43,52.222.145.55,60513235,40,60513235.00,40.00,0.00,0.00
192.168.20.43,54.92.237.197,1535488962,196,1535488962.00,196.00,0.00,0.00
192.168.20.43,35.155.170.66,8648384,19,8648384.00,19.00,0.00,0.00
192.168.20.43,52.2.208.65,654981545,84,654981545.00,84.00,0.00,0.00
192.168.20.43,52.46.155.112,197806311,20,197806311.00,20.00,0.00,0.00
192.168.20.43,151.101.1.16,328903,179,328903.00,179.00,0.00,0.00
