Src IP,Dst IP,Avg Flow Duration,Avg Forward Packets,Std Dev Flow Duration,Std Dev Forward Packets
192.168.20.43,18.232.172.63,767159912.00,98.00,0.00,0.00
192.168.20.43,52.201.117.32,193399893.00,83.00,0.00,0.00
192.168.20.43,52.202.2.34,37099475.00,21.00,0.00,0.00
192.168.20.43,35.174.77.103,551128304.00,70.00,0.00,0.00
192.168.20.43,52.1.172.87,20718609.00,187.00,0.00,0.00
192.168.20.43,52.204.152.47,16037654.00,118.00,0.00,0.00
192.168.20.43,52.95.124.103,740209.00,26.00,0.00,0.00
192.168.20.43,176.32.101.122,11576430.00,29.00,0.00,0.00
192.168.20.43,50.17.237.83,96660304.00,39.00,0.00,0.00
192.168.20.43,54.164.163.115,93993311.00,60.00,0.00,0.00
192.168.20.43,65.8.212.227,1092111.00,12.00,0.00,0.00
192.168.20.43,52.84.177.20,13321872.00,970.00,0.00,0.00
192.168.20.43,44.226.67.213,96003296.00,216.00,0.00,0.00
192.168.20.43,52.207.44.110,772506479.00,98.00,0.00,0.00
192.168.20.43,52.46.149.63,508866.00,12.00,0.00,0.00
192.168.20.43,52.46.149.60,356310.00,11.00,0.00,0.00
192.168.20.43,35.164.182.2,60747267.00,127.00,0.00,0.00
192.168.20.43,52.45.237.36,77695.00,1.00,0.00,0.00
192.168.20.43,18.210.245.179,96272714.00,49.00,0.00,0.00
192.168.20.43,54.226.11.35,14863582.00,59.00,0.00,0.00
192.168.20.43,34.202.146.90,193391997.00,84.00,0.00,0.00
192.168.20.43,54.242.128.35,25476999.00,37.00,0.00,0.00
192.168.20.43,34.236.6.206,76890.00,1.00,0.00,0.00
192.168.20.43,52.222.149.107,1414554.00,6.00,0.00,0.00
192.168.20.43,52.94.221.55,374625885.00,241.00,0.00,0.00
192.168.20.43,18.164.55.101,248414202.00,88.00,0.00,0.00
192.168.20.43,54.239.35.48,293774.00,11.00,0.00,0.00
192.168.20.43,54.159.111.180,71117848.00,1703.00,0.00,0.00
192.168.20.43,54.239.33.155,3957519.00,33.50,120289.00,5.50
192.168.20.43,3.212.205.83,31826754.00,260.00,0.00,0.00
192.168.20.43,35.174.51.236,19040042.00,68.00,0.00,0.00
192.168.20.43,52.45.18.59,21314476283.00,937.00,19492764838.00,857.00
52.222.174.52,192.168.20.48,163.00,2.00,0.00,0.00
18.140.188.91,192.168.20.48,376124.00,6.00,0.00,0.00
18.164.55.40,192.168.20.43,6861.50,1.00,5450.50,0.00
192.168.20.48,72.21.195.82,1802883.00,31.00,0.00,0.00
192.168.20.48,3.1.115.53,7250500.00,100.00,0.00,0.00
192.168.20.48,52.222.193.55,8409902.00,581.00,0.00,0.00
192.168.20.48,18.167.1.113,8684736.00,97.00,0.00,0.00
192.168.20.48,44.199.138.71,25106307.00,707.00,0.00,0.00
192.168.20.48,18.155.131.56,249595.00,18.00,0.00,0.00
192.168.20.48,52.119.198.106,976312.00,16.00,0.00,0.00
192.168.20.48,52.46.149.57,985542.00,17.00,0.00,0.00
192.168.20.48,13.248.200.177,136658.00,27.00,0.00,0.00
192.168.20.48,54.239.27.116,1399084.00,29.00,0.00,0.00
192.168.20.48,43.205.185.100,6699567.00,90.00,0.00,0.00
192.168.20.48,3.223.79.67,2682211.00,64.00,0.00,0.00
192.168.20.48,34.226.24.249,153962.00,2.00,0.00,0.00
192.168.20.48,8.8.8.8,218995.00,26.00,0.00,0.00
192.168.20.48,52.206.230.179,1347451.00,44.00,0.00,0.00
192.168.20.48,34.228.101.107,2223139.00,37.00,0.00,0.00
