Date,Src IP,Dst IP,Total Flow Duration,Total Forward Packets
06/11/2022,192.168.20.1,192.168.20.40,12165,6
06/11/2022,192.168.20.42,192.168.20.1,41270959247,2624
05/11/2022,192.168.20.43,176.32.101.46,68504074,17
06/11/2022,192.168.20.48,35.167.225.196,1698720,18
06/11/2022,192.168.20.43,3.224.166.115,28018728,204
06/11/2022,192.168.20.43,52.46.155.112,197806311,20
06/11/2022,192.168.20.48,13.246.174.39,4306392,76
06/11/2022,52.46.133.103,192.168.20.48,184133,1
06/11/2022,108.137.181.26,192.168.20.48,245253,5
06/11/2022,192.168.20.12,3.120.92.134,67806073474,2945
05/11/2022,52.76.51.147,192.168.20.48,1241,1
06/11/2022,54.232.199.45,192.168.20.48,376380,2
06/11/2022,192.168.20.48,44.207.137.197,1639429,39
06/11/2022,192.168.20.43,176.32.101.46,62497703,15
06/11/2022,52.46.137.209,192.168.20.43,1178,3
06/11/2022,52.71.238.202,192.168.20.48,1025,1
06/11/2022,192.168.20.48,34.206.100.209,2957327,84
06/11/2022,192.168.20.43,176.32.101.122,11576430,29
06/11/2022,192.168.20.43,52.119.198.189,447460,11
05/11/2022,151.101.1.16,192.168.20.43,1038,8
06/11/2022,216.58.215.48,192.168.20.42,4980,3
06/11/2022,192.168.20.43,65.8.212.227,1092111,12
06/11/2022,192.168.20.48,52.16.104.93,23827803517,1816
06/11/2022,192.168.20.18,52.31.222.8,9935487,837
06/11/2022,192.168.20.43,34.203.4.32,96811361,47
06/11/2022,192.168.20.43,54.205.24.65,12947201,21
06/11/2022,192.168.20.43,18.203.57.224,24312900510,4057
06/11/2022,192.168.20.43,54.166.21.152,25715677,42
05/11/2022,192.168.20.43,54.70.5.180,167166824,104
06/11/2022,18.156.17.11,192.168.20.48,48637,2
05/11/2022,192.168.20.19,8.8.8.8,121159,30
06/11/2022,192.168.20.42,216.239.35.12,332995,27
06/11/2022,44.198.224.47,192.168.20.48,2331220,57
06/11/2022,192.168.20.43,44.193.236.65,12425821,21
06/11/2022,192.168.20.42,216.58.213.67,51946359890,4456
06/11/2022,192.168.20.43,34.202.146.90,193391997,84
06/11/2022,192.168.20.48,209.54.181.98,1693669,34
06/11/2022,192.168.20.43,209.54.180.27,226730688,30
06/11/2022,142.250.201.163,192.168.20.42,1035,1
06/11/2022,192.168.20.43,44.227.96.221,162223065,295
06/11/2022,192.168.20.43,54.70.5.180,139665297,91
